Country,Refining_Capacity_Thousand_Barrels_Daily_2024
"Canada","1954"
"Mexico","1558"
"US","18416"
"Total North America","21928"
"Argentina","600"
"Brazil","2290"
"Chile","242"
"Colombia","501"
"Curacao","320"
"Ecuador","196"
"Netherlands Antilles","-"
"Peru","283"
"Trinidad & Tobago","175"
"Venezuela","1303"
"Other S. & Cent. America","384"
"Total S. & Cent. America","6294"
"Austria","193"
"Belgium","645"
"Bulgaria","195"
"Czech Republic","175"
"Denmark","181"
"Finland","206"
"France","1145"
"Germany","2076"
"Greece","528"
"Hungary","165"
"Ireland","75"
"Italy","1803"
"Lithuania","240"
"Netherlands","1241"
"Norway","226"
"Poland","583"
"Portugal","225"
"Romania","252"
"Slovakia","122"
"Spain","1591"
"Sweden","454"
"Switzerland","68"
"Turkey","822"
"Ukraine","250"
"United Kingdom","1219"
"Other Europe","337"
"Total Europe","15015"
"Azerbaijan","120"
"Belarus","520"
"Kazakhstan","400"
"Russian Federation","6781"
"Turkmenistan","271"
"USSR","-"
"Uzbekistan","232"
"Other CIS","67"
"Total CIS","8391"
"Bahrain","260"
"Iran","2460"
"Iraq","1219"
"Israel","301"
"Kuwait","1430"
"Oman","564"
"Qatar","429"
"Saudi Arabia","3289"
"United Arab Emirates","1271"
"Other Middle East","496"
"Total Middle East","11719"
"Algeria","657"
"Egypt","825"
"Morocco","-"
"Nigeria","1030"
"South Africa","215"
"Other Africa","759"
"Total Africa","3486"
"Australia","235"
"Bangladesh","43"
"China","18514"
"India","5172"
"Indonesia","1259"
"Japan","2955"
"Malaysia","1155"
"New Zealand","30"
"Pakistan","450"
"Philippines","180"
"Singapore","1302"
"South Korea","3363"
"Taiwan","1083"
"Thailand","1242"
"Vietnam","367"
"Other Asia Pacific","341"
"Total Asia Pacific","37690"
"Total World","104523"
"of which: OECD","43536"
"Non-OECD","60987"
"European Union #","12185"
